ACC=0.459380, f1_macro=0.427952, precision_macro=0.501124, recall_macro=0.434458, f1_micro=0.459380, precision_micro=0.459380, recall_micro=0.459380, NMI=0.331279, ADJ_RAND_SCORE=0.195861
ACC=0.496677, f1_macro=0.510586, precision_macro=0.573830, recall_macro=0.524702, f1_micro=0.496677, precision_micro=0.496677, recall_micro=0.496677, NMI=0.355044, ADJ_RAND_SCORE=0.237735
ACC=0.461595, f1_macro=0.430834, precision_macro=0.507288, recall_macro=0.436761, f1_micro=0.461595, precision_micro=0.461595, recall_micro=0.461595, NMI=0.336007, ADJ_RAND_SCORE=0.195388
ACC=0.461226, f1_macro=0.431691, precision_macro=0.510646, recall_macro=0.437760, f1_micro=0.461226, precision_micro=0.461226, recall_micro=0.461226, NMI=0.336799, ADJ_RAND_SCORE=0.193136
ACC=0.500739, f1_macro=0.516352, precision_macro=0.570771, recall_macro=0.527231, f1_micro=0.500739, precision_micro=0.500739, recall_micro=0.500739, NMI=0.351713, ADJ_RAND_SCORE=0.239146
ACC=0.491137, f1_macro=0.506269, precision_macro=0.578531, recall_macro=0.508339, f1_micro=0.491137, precision_micro=0.491137, recall_micro=0.491137, NMI=0.351385, ADJ_RAND_SCORE=0.232085
ACC=0.495938, f1_macro=0.499389, precision_macro=0.575915, recall_macro=0.502336, f1_micro=0.495938, precision_micro=0.495938, recall_micro=0.495938, NMI=0.318306, ADJ_RAND_SCORE=0.213279
ACC=0.496677, f1_macro=0.510492, precision_macro=0.572999, recall_macro=0.519288, f1_micro=0.496677, precision_micro=0.496677, recall_micro=0.496677, NMI=0.350612, ADJ_RAND_SCORE=0.235805
ACC=0.489660, f1_macro=0.490231, precision_macro=0.575046, recall_macro=0.491437, f1_micro=0.489660, precision_micro=0.489660, recall_micro=0.489660, NMI=0.353069, ADJ_RAND_SCORE=0.234629
ACC=0.505908, f1_macro=0.508826, precision_macro=0.585539, recall_macro=0.508818, f1_micro=0.505908, precision_micro=0.505908, recall_micro=0.505908, NMI=0.326973, ADJ_RAND_SCORE=0.223507
ACC=0.548006, f1_macro=0.552901, precision_macro=0.597123, recall_macro=0.576638, f1_micro=0.548006, precision_micro=0.548006, recall_micro=0.548006, NMI=0.413586, ADJ_RAND_SCORE=0.305741
ACC=0.607829, f1_macro=0.612751, precision_macro=0.659449, recall_macro=0.607244, f1_micro=0.607829, precision_micro=0.607829, recall_micro=0.607829, NMI=0.455039, ADJ_RAND_SCORE=0.341140
ACC=0.605613, f1_macro=0.610815, precision_macro=0.660770, recall_macro=0.604316, f1_micro=0.605613, precision_micro=0.605613, recall_micro=0.605613, NMI=0.453499, ADJ_RAND_SCORE=0.342491
ACC=0.544682, f1_macro=0.550118, precision_macro=0.595576, recall_macro=0.572562, f1_micro=0.544682, precision_micro=0.544682, recall_micro=0.544682, NMI=0.409810, ADJ_RAND_SCORE=0.301326
ACC=0.548375, f1_macro=0.553701, precision_macro=0.599617, recall_macro=0.576978, f1_micro=0.548375, precision_micro=0.548375, recall_micro=0.548375, NMI=0.414434, ADJ_RAND_SCORE=0.305823
ACC=0.578287, f1_macro=0.573331, precision_macro=0.626349, recall_macro=0.579385, f1_micro=0.578287, precision_micro=0.578287, recall_micro=0.578287, NMI=0.400464, ADJ_RAND_SCORE=0.307519
ACC=0.587888, f1_macro=0.602702, precision_macro=0.670979, recall_macro=0.591810, f1_micro=0.587888, precision_micro=0.587888, recall_micro=0.587888, NMI=0.442007, ADJ_RAND_SCORE=0.315647
ACC=0.593058, f1_macro=0.608437, precision_macro=0.675454, recall_macro=0.593642, f1_micro=0.593058, precision_micro=0.593058, recall_micro=0.593058, NMI=0.449842, ADJ_RAND_SCORE=0.323286
ACC=0.600443, f1_macro=0.614685, precision_macro=0.680478, recall_macro=0.600266, f1_micro=0.600443, precision_micro=0.600443, recall_micro=0.600443, NMI=0.454089, ADJ_RAND_SCORE=0.330605
ACC=0.542467, f1_macro=0.548245, precision_macro=0.594927, recall_macro=0.570693, f1_micro=0.542467, precision_micro=0.542467, recall_micro=0.542467, NMI=0.408663, ADJ_RAND_SCORE=0.299303
ACC=0.592688, f1_macro=0.576053, precision_macro=0.690412, recall_macro=0.584630, f1_micro=0.592688, precision_micro=0.592688, recall_micro=0.592688, NMI=0.453482, ADJ_RAND_SCORE=0.334429
ACC=0.627031, f1_macro=0.634388, precision_macro=0.693034, recall_macro=0.627849, f1_micro=0.627031, precision_micro=0.627031, recall_micro=0.627031, NMI=0.486063, ADJ_RAND_SCORE=0.370934
ACC=0.634417, f1_macro=0.642339, precision_macro=0.705510, recall_macro=0.631375, f1_micro=0.634417, precision_micro=0.634417, recall_micro=0.634417, NMI=0.500251, ADJ_RAND_SCORE=0.391066
ACC=0.581979, f1_macro=0.562757, precision_macro=0.596397, recall_macro=0.574337, f1_micro=0.581979, precision_micro=0.581979, recall_micro=0.581979, NMI=0.453239, ADJ_RAND_SCORE=0.362636
ACC=0.600443, f1_macro=0.590086, precision_macro=0.634662, recall_macro=0.595789, f1_micro=0.600443, precision_micro=0.600443, recall_micro=0.600443, NMI=0.466320, ADJ_RAND_SCORE=0.366850
ACC=0.638479, f1_macro=0.643621, precision_macro=0.699897, recall_macro=0.636543, f1_micro=0.638479, precision_micro=0.638479, recall_micro=0.638479, NMI=0.500279, ADJ_RAND_SCORE=0.388061
ACC=0.638479, f1_macro=0.641030, precision_macro=0.691507, recall_macro=0.636385, f1_micro=0.638479, precision_micro=0.638479, recall_micro=0.638479, NMI=0.494348, ADJ_RAND_SCORE=0.385739
ACC=0.612260, f1_macro=0.623866, precision_macro=0.695498, recall_macro=0.611469, f1_micro=0.612260, precision_micro=0.612260, recall_micro=0.612260, NMI=0.489437, ADJ_RAND_SCORE=0.367050
ACC=0.588257, f1_macro=0.579986, precision_macro=0.636347, recall_macro=0.582593, f1_micro=0.588257, precision_micro=0.588257, recall_micro=0.588257, NMI=0.462947, ADJ_RAND_SCORE=0.365114
ACC=0.643648, f1_macro=0.641030, precision_macro=0.690498, recall_macro=0.639999, f1_micro=0.643648, precision_micro=0.643648, recall_micro=0.643648, NMI=0.488167, ADJ_RAND_SCORE=0.387383
ACC=0.617799, f1_macro=0.605034, precision_macro=0.647206, recall_macro=0.608878, f1_micro=0.617799, precision_micro=0.617799, recall_micro=0.617799, NMI=0.487060, ADJ_RAND_SCORE=0.394964
ACC=0.659527, f1_macro=0.657224, precision_macro=0.705002, recall_macro=0.656251, f1_micro=0.659527, precision_micro=0.659527, recall_micro=0.659527, NMI=0.509495, ADJ_RAND_SCORE=0.410341
ACC=0.610783, f1_macro=0.604245, precision_macro=0.653056, recall_macro=0.603619, f1_micro=0.610783, precision_micro=0.610783, recall_micro=0.610783, NMI=0.487598, ADJ_RAND_SCORE=0.387449
ACC=0.655465, f1_macro=0.653761, precision_macro=0.704206, recall_macro=0.648929, f1_micro=0.655465, precision_micro=0.655465, recall_micro=0.655465, NMI=0.508840, ADJ_RAND_SCORE=0.409579
ACC=0.673191, f1_macro=0.681982, precision_macro=0.699770, recall_macro=0.705478, f1_micro=0.673191, precision_micro=0.673191, recall_micro=0.673191, NMI=0.503021, ADJ_RAND_SCORE=0.407217
ACC=0.632201, f1_macro=0.633492, precision_macro=0.684846, recall_macro=0.629309, f1_micro=0.632201, precision_micro=0.632201, recall_micro=0.632201, NMI=0.503200, ADJ_RAND_SCORE=0.396087
ACC=0.613737, f1_macro=0.598118, precision_macro=0.639654, recall_macro=0.602630, f1_micro=0.613737, precision_micro=0.613737, recall_micro=0.613737, NMI=0.486698, ADJ_RAND_SCORE=0.397265
ACC=0.627031, f1_macro=0.611832, precision_macro=0.650466, recall_macro=0.619314, f1_micro=0.627031, precision_micro=0.627031, recall_micro=0.627031, NMI=0.489096, ADJ_RAND_SCORE=0.399996
ACC=0.611521, f1_macro=0.594066, precision_macro=0.636936, recall_macro=0.600794, f1_micro=0.611521, precision_micro=0.611521, recall_micro=0.611521, NMI=0.486581, ADJ_RAND_SCORE=0.398514
ACC=0.662851, f1_macro=0.658171, precision_macro=0.704776, recall_macro=0.657398, f1_micro=0.662851, precision_micro=0.662851, recall_micro=0.662851, NMI=0.509686, ADJ_RAND_SCORE=0.414045
ACC=0.631462, f1_macro=0.616798, precision_macro=0.655302, recall_macro=0.620207, f1_micro=0.631462, precision_micro=0.631462, recall_micro=0.631462, NMI=0.499793, ADJ_RAND_SCORE=0.412254
ACC=0.660635, f1_macro=0.656618, precision_macro=0.704689, recall_macro=0.653444, f1_micro=0.660635, precision_micro=0.660635, recall_micro=0.660635, NMI=0.511947, ADJ_RAND_SCORE=0.416028
ACC=0.623338, f1_macro=0.569999, precision_macro=0.584727, recall_macro=0.590487, f1_micro=0.623338, precision_micro=0.623338, recall_micro=0.623338, NMI=0.496480, ADJ_RAND_SCORE=0.401172
ACC=0.646603, f1_macro=0.649894, precision_macro=0.709006, recall_macro=0.641085, f1_micro=0.646603, precision_micro=0.646603, recall_micro=0.646603, NMI=0.521815, ADJ_RAND_SCORE=0.416390
ACC=0.663589, f1_macro=0.664115, precision_macro=0.721276, recall_macro=0.654562, f1_micro=0.663589, precision_micro=0.663589, recall_micro=0.663589, NMI=0.523465, ADJ_RAND_SCORE=0.427883
ACC=0.650295, f1_macro=0.646343, precision_macro=0.691614, recall_macro=0.643326, f1_micro=0.650295, precision_micro=0.650295, recall_micro=0.650295, NMI=0.516594, ADJ_RAND_SCORE=0.420309
ACC=0.641802, f1_macro=0.639371, precision_macro=0.686310, recall_macro=0.635853, f1_micro=0.641802, precision_micro=0.641802, recall_micro=0.641802, NMI=0.508738, ADJ_RAND_SCORE=0.409515
ACC=0.649926, f1_macro=0.645212, precision_macro=0.691804, recall_macro=0.642701, f1_micro=0.649926, precision_micro=0.649926, recall_micro=0.649926, NMI=0.517021, ADJ_RAND_SCORE=0.420204
ACC=0.668021, f1_macro=0.662876, precision_macro=0.710466, recall_macro=0.658013, f1_micro=0.668021, precision_micro=0.668021, recall_micro=0.668021, NMI=0.517973, ADJ_RAND_SCORE=0.428660
ACC=0.678730, f1_macro=0.675681, precision_macro=0.746201, recall_macro=0.694657, f1_micro=0.678730, precision_micro=0.678730, recall_micro=0.678730, NMI=0.524543, ADJ_RAND_SCORE=0.432976
ACC=0.665066, f1_macro=0.661713, precision_macro=0.709530, recall_macro=0.656852, f1_micro=0.665066, precision_micro=0.665066, recall_micro=0.665066, NMI=0.519214, ADJ_RAND_SCORE=0.426050
ACC=0.623338, f1_macro=0.608473, precision_macro=0.648086, recall_macro=0.612910, f1_micro=0.623338, precision_micro=0.623338, recall_micro=0.623338, NMI=0.496684, ADJ_RAND_SCORE=0.408413
ACC=0.697932, f1_macro=0.676360, precision_macro=0.768191, recall_macro=0.677485, f1_micro=0.697932, precision_micro=0.697932, recall_micro=0.697932, NMI=0.532582, ADJ_RAND_SCORE=0.440953
ACC=0.645864, f1_macro=0.643435, precision_macro=0.689221, recall_macro=0.641582, f1_micro=0.645864, precision_micro=0.645864, recall_micro=0.645864, NMI=0.512917, ADJ_RAND_SCORE=0.410298
ACC=0.676883, f1_macro=0.665390, precision_macro=0.725934, recall_macro=0.694613, f1_micro=0.676883, precision_micro=0.676883, recall_micro=0.676883, NMI=0.523479, ADJ_RAND_SCORE=0.441126
ACC=0.665436, f1_macro=0.662052, precision_macro=0.714828, recall_macro=0.656747, f1_micro=0.665436, precision_micro=0.665436, recall_micro=0.665436, NMI=0.522330, ADJ_RAND_SCORE=0.428110
ACC=0.623338, f1_macro=0.611280, precision_macro=0.656454, recall_macro=0.613392, f1_micro=0.623338, precision_micro=0.623338, recall_micro=0.623338, NMI=0.503430, ADJ_RAND_SCORE=0.413325
ACC=0.579394, f1_macro=0.551042, precision_macro=0.577898, recall_macro=0.559739, f1_micro=0.579394, precision_micro=0.579394, recall_micro=0.579394, NMI=0.490107, ADJ_RAND_SCORE=0.373453
ACC=0.665436, f1_macro=0.663390, precision_macro=0.715785, recall_macro=0.658227, f1_micro=0.665436, precision_micro=0.665436, recall_micro=0.665436, NMI=0.524049, ADJ_RAND_SCORE=0.429375
ACC=0.675406, f1_macro=0.668237, precision_macro=0.711075, recall_macro=0.667592, f1_micro=0.675406, precision_micro=0.675406, recall_micro=0.675406, NMI=0.525479, ADJ_RAND_SCORE=0.435092
ACC=0.605244, f1_macro=0.590542, precision_macro=0.628014, recall_macro=0.597475, f1_micro=0.605244, precision_micro=0.605244, recall_micro=0.605244, NMI=0.497227, ADJ_RAND_SCORE=0.398233
ACC=0.673929, f1_macro=0.670622, precision_macro=0.722911, recall_macro=0.665434, f1_micro=0.673929, precision_micro=0.673929, recall_micro=0.673929, NMI=0.535070, ADJ_RAND_SCORE=0.439408
ACC=0.674298, f1_macro=0.667596, precision_macro=0.713429, recall_macro=0.665332, f1_micro=0.674298, precision_micro=0.674298, recall_micro=0.674298, NMI=0.526919, ADJ_RAND_SCORE=0.434793
ACC=0.648818, f1_macro=0.649877, precision_macro=0.706906, recall_macro=0.645578, f1_micro=0.648818, precision_micro=0.648818, recall_micro=0.648818, NMI=0.524526, ADJ_RAND_SCORE=0.414941
ACC=0.668021, f1_macro=0.664190, precision_macro=0.715833, recall_macro=0.660549, f1_micro=0.668021, precision_micro=0.668021, recall_micro=0.668021, NMI=0.525917, ADJ_RAND_SCORE=0.431529
ACC=0.648818, f1_macro=0.650227, precision_macro=0.705813, recall_macro=0.645949, f1_micro=0.648818, precision_micro=0.648818, recall_micro=0.648818, NMI=0.523449, ADJ_RAND_SCORE=0.414331
ACC=0.629247, f1_macro=0.615027, precision_macro=0.659361, recall_macro=0.618415, f1_micro=0.629247, precision_micro=0.629247, recall_micro=0.629247, NMI=0.510394, ADJ_RAND_SCORE=0.421425
ACC=0.627031, f1_macro=0.613431, precision_macro=0.657784, recall_macro=0.616042, f1_micro=0.627031, precision_micro=0.627031, recall_micro=0.627031, NMI=0.506134, ADJ_RAND_SCORE=0.417158
ACC=0.672821, f1_macro=0.666936, precision_macro=0.714224, recall_macro=0.663941, f1_micro=0.672821, precision_micro=0.672821, recall_micro=0.672821, NMI=0.526022, ADJ_RAND_SCORE=0.433398
ACC=0.576071, f1_macro=0.514435, precision_macro=0.569373, recall_macro=0.522269, f1_micro=0.576071, precision_micro=0.576071, recall_micro=0.576071, NMI=0.478314, ADJ_RAND_SCORE=0.342604
ACC=0.681315, f1_macro=0.680710, precision_macro=0.750176, recall_macro=0.697169, f1_micro=0.681315, precision_micro=0.681315, recall_micro=0.681315, NMI=0.529711, ADJ_RAND_SCORE=0.435614
ACC=0.582718, f1_macro=0.517321, precision_macro=0.567812, recall_macro=0.527806, f1_micro=0.582718, precision_micro=0.582718, recall_micro=0.582718, NMI=0.480539, ADJ_RAND_SCORE=0.345927
ACC=0.671344, f1_macro=0.665143, precision_macro=0.715175, recall_macro=0.662360, f1_micro=0.671344, precision_micro=0.671344, recall_micro=0.671344, NMI=0.530648, ADJ_RAND_SCORE=0.438218
ACC=0.681684, f1_macro=0.680469, precision_macro=0.749797, recall_macro=0.696627, f1_micro=0.681684, precision_micro=0.681684, recall_micro=0.681684, NMI=0.529282, ADJ_RAND_SCORE=0.436864
ACC=0.600812, f1_macro=0.596124, precision_macro=0.643342, recall_macro=0.600927, f1_micro=0.600812, precision_micro=0.600812, recall_micro=0.600812, NMI=0.506328, ADJ_RAND_SCORE=0.386562
ACC=0.608567, f1_macro=0.598955, precision_macro=0.647692, recall_macro=0.601789, f1_micro=0.608567, precision_micro=0.608567, recall_micro=0.608567, NMI=0.509527, ADJ_RAND_SCORE=0.404374
ACC=0.674668, f1_macro=0.665293, precision_macro=0.708549, recall_macro=0.665311, f1_micro=0.674668, precision_micro=0.674668, recall_micro=0.674668, NMI=0.527238, ADJ_RAND_SCORE=0.437227
ACC=0.631832, f1_macro=0.642907, precision_macro=0.681437, recall_macro=0.662613, f1_micro=0.631832, precision_micro=0.631832, recall_micro=0.631832, NMI=0.503388, ADJ_RAND_SCORE=0.389576
ACC=0.676883, f1_macro=0.671021, precision_macro=0.720930, recall_macro=0.667881, f1_micro=0.676883, precision_micro=0.676883, recall_micro=0.676883, NMI=0.536883, ADJ_RAND_SCORE=0.444071
ACC=0.680945, f1_macro=0.679769, precision_macro=0.749595, recall_macro=0.695801, f1_micro=0.680945, precision_micro=0.680945, recall_micro=0.680945, NMI=0.528556, ADJ_RAND_SCORE=0.435767
ACC=0.614476, f1_macro=0.603134, precision_macro=0.648035, recall_macro=0.607957, f1_micro=0.614476, precision_micro=0.614476, recall_micro=0.614476, NMI=0.513254, ADJ_RAND_SCORE=0.407951
ACC=0.669129, f1_macro=0.620222, precision_macro=0.639259, recall_macro=0.632474, f1_micro=0.669129, precision_micro=0.669129, recall_micro=0.669129, NMI=0.530088, ADJ_RAND_SCORE=0.431006
ACC=0.637001, f1_macro=0.618207, precision_macro=0.653345, recall_macro=0.625236, f1_micro=0.637001, precision_micro=0.637001, recall_micro=0.637001, NMI=0.515646, ADJ_RAND_SCORE=0.426098
ACC=0.668021, f1_macro=0.617183, precision_macro=0.635686, recall_macro=0.630448, f1_micro=0.668021, precision_micro=0.668021, recall_micro=0.668021, NMI=0.527903, ADJ_RAND_SCORE=0.431694
ACC=0.682422, f1_macro=0.672048, precision_macro=0.717938, recall_macro=0.671782, f1_micro=0.682422, precision_micro=0.682422, recall_micro=0.682422, NMI=0.541776, ADJ_RAND_SCORE=0.452396
ACC=0.665436, f1_macro=0.654597, precision_macro=0.701615, recall_macro=0.654350, f1_micro=0.665436, precision_micro=0.665436, recall_micro=0.665436, NMI=0.519310, ADJ_RAND_SCORE=0.427138
ACC=0.680207, f1_macro=0.672077, precision_macro=0.721794, recall_macro=0.669693, f1_micro=0.680207, precision_micro=0.680207, recall_micro=0.680207, NMI=0.543243, ADJ_RAND_SCORE=0.451443
ACC=0.589365, f1_macro=0.522203, precision_macro=0.574574, recall_macro=0.533170, f1_micro=0.589365, precision_micro=0.589365, recall_micro=0.589365, NMI=0.493191, ADJ_RAND_SCORE=0.356982
ACC=0.640694, f1_macro=0.621232, precision_macro=0.662016, recall_macro=0.625275, f1_micro=0.640694, precision_micro=0.640694, recall_micro=0.640694, NMI=0.524990, ADJ_RAND_SCORE=0.441857
ACC=0.713442, f1_macro=0.691318, precision_macro=0.792264, recall_macro=0.689679, f1_micro=0.713442, precision_micro=0.713442, recall_micro=0.713442, NMI=0.552512, ADJ_RAND_SCORE=0.459288
ACC=0.657312, f1_macro=0.650919, precision_macro=0.700667, recall_macro=0.651717, f1_micro=0.657312, precision_micro=0.657312, recall_micro=0.657312, NMI=0.532976, ADJ_RAND_SCORE=0.429258
ACC=0.593058, f1_macro=0.524255, precision_macro=0.575377, recall_macro=0.536800, f1_micro=0.593058, precision_micro=0.593058, recall_micro=0.593058, NMI=0.499457, ADJ_RAND_SCORE=0.363438
ACC=0.656942, f1_macro=0.650733, precision_macro=0.700976, recall_macro=0.651382, f1_micro=0.656942, precision_micro=0.656942, recall_micro=0.656942, NMI=0.533542, ADJ_RAND_SCORE=0.429466
ACC=0.685746, f1_macro=0.673006, precision_macro=0.718752, recall_macro=0.672288, f1_micro=0.685746, precision_micro=0.685746, recall_micro=0.685746, NMI=0.545584, ADJ_RAND_SCORE=0.460678
ACC=0.597858, f1_macro=0.525091, precision_macro=0.570196, recall_macro=0.539022, f1_micro=0.597858, precision_micro=0.597858, recall_micro=0.597858, NMI=0.497385, ADJ_RAND_SCORE=0.366369
ACC=0.619645, f1_macro=0.559469, precision_macro=0.572580, recall_macro=0.579747, f1_micro=0.619645, precision_micro=0.619645, recall_micro=0.619645, NMI=0.505015, ADJ_RAND_SCORE=0.413446
ACC=0.641064, f1_macro=0.618858, precision_macro=0.653620, recall_macro=0.626591, f1_micro=0.641064, precision_micro=0.641064, recall_micro=0.641064, NMI=0.523617, ADJ_RAND_SCORE=0.436965
ACC=0.658419, f1_macro=0.653096, precision_macro=0.704977, recall_macro=0.652275, f1_micro=0.658419, precision_micro=0.658419, recall_micro=0.658419, NMI=0.535117, ADJ_RAND_SCORE=0.430009
ACC=0.637740, f1_macro=0.617796, precision_macro=0.656915, recall_macro=0.623092, f1_micro=0.637740, precision_micro=0.637740, recall_micro=0.637740, NMI=0.523732, ADJ_RAND_SCORE=0.438323
ACC=0.668390, f1_macro=0.617285, precision_macro=0.635721, recall_macro=0.630371, f1_micro=0.668390, precision_micro=0.668390, recall_micro=0.668390, NMI=0.526308, ADJ_RAND_SCORE=0.430930
ACC=0.662482, f1_macro=0.612675, precision_macro=0.631648, recall_macro=0.625349, f1_micro=0.662482, precision_micro=0.662482, recall_micro=0.662482, NMI=0.523064, ADJ_RAND_SCORE=0.424579
ACC=0.681315, f1_macro=0.666508, precision_macro=0.706151, recall_macro=0.669092, f1_micro=0.681315, precision_micro=0.681315, recall_micro=0.681315, NMI=0.535155, ADJ_RAND_SCORE=0.448468
ACC=0.687962, f1_macro=0.671200, precision_macro=0.709914, recall_macro=0.673333, f1_micro=0.687962, precision_micro=0.687962, recall_micro=0.687962, NMI=0.540728, ADJ_RAND_SCORE=0.460503
ACC=0.646603, f1_macro=0.623454, precision_macro=0.657949, recall_macro=0.630467, f1_micro=0.646603, precision_micro=0.646603, recall_micro=0.646603, NMI=0.522213, ADJ_RAND_SCORE=0.441426
ACC=0.593427, f1_macro=0.524008, precision_macro=0.574481, recall_macro=0.536684, f1_micro=0.593427, precision_micro=0.593427, recall_micro=0.593427, NMI=0.498510, ADJ_RAND_SCORE=0.363640
ACC=0.666544, f1_macro=0.616426, precision_macro=0.634277, recall_macro=0.629322, f1_micro=0.666544, precision_micro=0.666544, recall_micro=0.666544, NMI=0.526418, ADJ_RAND_SCORE=0.429139
ACC=0.645126, f1_macro=0.623884, precision_macro=0.664719, recall_macro=0.627919, f1_micro=0.645126, precision_micro=0.645126, recall_micro=0.645126, NMI=0.528781, ADJ_RAND_SCORE=0.447416
ACC=0.683530, f1_macro=0.668431, precision_macro=0.709125, recall_macro=0.670110, f1_micro=0.683530, precision_micro=0.683530, recall_micro=0.683530, NMI=0.536190, ADJ_RAND_SCORE=0.452453
ACC=0.684269, f1_macro=0.669096, precision_macro=0.709921, recall_macro=0.670793, f1_micro=0.684269, precision_micro=0.684269, recall_micro=0.684269, NMI=0.537482, ADJ_RAND_SCORE=0.453858
ACC=0.685746, f1_macro=0.671336, precision_macro=0.712867, recall_macro=0.672821, f1_micro=0.685746, precision_micro=0.685746, recall_micro=0.685746, NMI=0.540105, ADJ_RAND_SCORE=0.454330
ACC=0.654727, f1_macro=0.648302, precision_macro=0.696393, recall_macro=0.650196, f1_micro=0.654727, precision_micro=0.654727, recall_micro=0.654727, NMI=0.527977, ADJ_RAND_SCORE=0.423049
ACC=0.598227, f1_macro=0.526814, precision_macro=0.578355, recall_macro=0.537781, f1_micro=0.598227, precision_micro=0.598227, recall_micro=0.598227, NMI=0.502650, ADJ_RAND_SCORE=0.374963
ACC=0.615583, f1_macro=0.579537, precision_macro=0.634019, recall_macro=0.580263, f1_micro=0.615583, precision_micro=0.615583, recall_micro=0.615583, NMI=0.503844, ADJ_RAND_SCORE=0.388782
ACC=0.686484, f1_macro=0.670331, precision_macro=0.709605, recall_macro=0.671996, f1_micro=0.686484, precision_micro=0.686484, recall_micro=0.686484, NMI=0.537689, ADJ_RAND_SCORE=0.457709
ACC=0.653619, f1_macro=0.647167, precision_macro=0.695635, recall_macro=0.648968, f1_micro=0.653619, precision_micro=0.653619, recall_micro=0.653619, NMI=0.526617, ADJ_RAND_SCORE=0.421615
ACC=0.616322, f1_macro=0.602298, precision_macro=0.647066, recall_macro=0.608044, f1_micro=0.616322, precision_micro=0.616322, recall_micro=0.616322, NMI=0.512053, ADJ_RAND_SCORE=0.409847
ACC=0.656942, f1_macro=0.643946, precision_macro=0.702989, recall_macro=0.643251, f1_micro=0.656942, precision_micro=0.656942, recall_micro=0.656942, NMI=0.516710, ADJ_RAND_SCORE=0.425089
